iter	Passed	Remaining
0	1	1730
1	3	1623
2	4	1583
3	6	1550
4	7	1590
5	10	1744
6	11	1694
7	13	1652
8	14	1637
9	16	1618
10	17	1606
11	19	1592
12	20	1580
13	22	1563
14	23	1567
15	25	1577
16	27	1608
17	29	1622
18	31	1607
19	32	1595
20	34	1587
21	35	1580
22	37	1572
23	38	1567
24	40	1588
25	42	1605
26	44	1608
27	46	1599
28	47	1592
29	49	1584
30	50	1578
31	51	1572
32	53	1570
33	55	1572
34	57	1581
35	59	1590
36	61	1600
37	62	1592
38	64	1585
39	65	1577
40	67	1570
41	68	1563
42	69	1557
43	72	1576
44	75	1599
45	77	1607
46	79	1613
47	81	1619
48	83	1612
49	84	1605
50	85	1599
51	88	1608
52	89	1607
53	91	1600
54	92	1594
55	94	1589
56	95	1583
57	97	1580
58	98	1577
59	100	1572
60	101	1567
61	106	1609
62	110	1646
63	113	1656
64	114	1650
65	116	1643
66	117	1637
67	119	1639
68	121	1636
69	122	1629
70	124	1623
71	125	1618
72	127	1613
73	128	1608
74	130	1604
75	131	1601
76	133	1598
77	136	1608
78	137	1608
79	139	1607
80	141	1606
81	143	1606
82	145	1602
83	146	1597
84	148	1597
85	151	1606
86	152	1605
87	154	1603
88	156	1605
89	158	1604
90	161	1612
91	163	1610
92	164	1606
93	167	1613
94	169	1610
95	170	1608
96	172	1606
97	175	1618
98	178	1622
99	180	1622
100	182	1624
101	184	1623
102	186	1621
103	187	1615
104	189	1611
105	190	1606
106	192	1607
107	194	1609
108	200	1636
109	201	1632
110	203	1627
111	204	1622
112	206	1619
113	207	1615
114	209	1612
115	211	1610
116	213	1612
117	215	1612
118	217	1609
119	218	1605
120	220	1600
121	221	1596
122	223	1592
123	224	1588
124	226	1585
125	227	1580
126	230	1582
127	231	1580
128	233	1576
129	234	1572
130	236	1569
131	237	1564
132	239	1560
133	240	1556
134	242	1553
135	244	1553
136	246	1553
137	248	1549
138	249	1545
139	251	1542
140	252	1538
141	253	1534
142	255	1530
143	256	1527
144	258	1523
145	261	1531
146	263	1528
147	264	1524
148	266	1521
149	267	1518
150	269	1514
151	270	1510
152	272	1506
153	273	1503
154	275	1501
155	277	1500
156	279	1498
157	281	1498
158	282	1494
159	283	1490
160	285	1486
161	286	1483
162	288	1479
163	289	1476
164	291	1474
165	293	1476
166	295	1474
167	296	1470
168	298	1467
169	299	1463
170	301	1460
171	302	1458
172	304	1454
173	305	1450
174	307	1449
175	309	1448
176	310	1445
177	312	1442
178	313	1438
179	315	1435
180	316	1432
181	317	1428
182	319	1425
183	320	1422
184	322	1419
185	324	1421
186	326	1420
187	328	1418
188	330	1418
189	332	1416
190	333	1414
191	335	1411
192	337	1409
193	339	1411
194	343	1416
195	344	1413
196	345	1410
197	347	1408
198	349	1406
199	350	1403
200	352	1400
201	355	1405
202	357	1404
203	359	1401
204	360	1398
205	362	1396
206	363	1393
207	365	1390
208	366	1387
209	368	1384
210	369	1382
211	371	1381
212	373	1379
213	375	1378
214	376	1375
215	378	1372
216	379	1369
217	380	1366
218	382	1363
219	383	1361
220	385	1358
221	387	1359
222	389	1356
223	390	1353
224	392	1350
225	393	1347
226	394	1344
227	396	1341
228	397	1338
229	399	1336
230	400	1333
231	402	1333
232	404	1331
233	405	1328
234	407	1325
235	408	1322
236	409	1319
237	411	1317
238	412	1314
239	414	1311
240	415	1308
241	417	1307
242	419	1306
243	420	1303
244	421	1300
245	423	1297
246	424	1294
247	426	1291
248	427	1289
249	429	1288
250	430	1285
251	432	1282
252	434	1283
253	436	1280
254	437	1277
255	438	1275
256	440	1272
257	441	1269
258	443	1267
259	444	1264
260	445	1261
261	446	1259
262	448	1256
263	450	1255
264	451	1253
265	453	1250
266	454	1247
267	455	1245
268	457	1243
269	459	1243
270	461	1242
271	463	1239
272	465	1240
273	467	1238
274	469	1237
275	470	1235
276	472	1232
277	473	1229
278	474	1227
279	476	1224
280	477	1222
281	479	1219
282	481	1219
283	482	1217
284	484	1214
285	485	1212
286	486	1209
287	488	1206
288	489	1204
289	490	1201
290	492	1199
291	493	1196
292	494	1194
293	496	1193
294	499	1192
295	500	1190
296	501	1188
297	503	1185
298	504	1183
299	505	1180
300	507	1178
301	508	1175
302	510	1173
303	512	1172
304	513	1170
305	515	1168
306	516	1166
307	519	1167
308	521	1165
309	524	1166
310	527	1168
311	531	1172
312	537	1179
313	540	1181
314	546	1187
315	547	1186
316	550	1186
317	553	1186
318	556	1187
319	562	1194
320	565	1196
321	569	1198
322	572	1199
323	577	1204
324	581	1208
325	586	1213
326	590	1214
327	593	1216
328	597	1219
329	600	1220
330	603	1220
331	608	1224
332	611	1225
333	614	1225
334	617	1225
335	621	1227
336	625	1230
337	628	1231
338	632	1232
339	634	1232
340	636	1230
341	641	1234
342	644	1235
343	648	1237
344	652	1238
345	658	1244
346	661	1245
347	664	1244
348	667	1245
349	672	1249
350	677	1253
351	680	1252
352	683	1253
353	688	1257
354	691	1256
355	695	1258
356	697	1255
357	698	1252
358	699	1249
359	702	1248
360	703	1245
361	705	1242
362	706	1239
363	708	1237
364	709	1234
365	713	1235
366	719	1241
367	721	1239
368	723	1237
369	726	1236
370	727	1234
371	729	1231
372	731	1229
373	735	1230
374	737	1228
375	739	1226
376	741	1224
377	743	1223
378	745	1221
379	747	1220
380	750	1219
381	752	1217
382	754	1215
383	756	1213
384	758	1210
385	759	1208
386	761	1206
387	765	1207
388	770	1210
389	772	1208
390	775	1208
391	780	1210
392	782	1209
393	785	1208
394	790	1210
395	794	1212
396	797	1212
397	799	1209
398	802	1208
399	804	1206
400	805	1202
401	806	1200
402	809	1198
403	810	1195
404	812	1193
405	814	1191
406	816	1189
407	817	1186
408	818	1183
409	820	1180
410	821	1177
411	822	1174
412	825	1173
413	827	1171
414	828	1168
415	830	1165
416	831	1162
417	832	1159
418	834	1156
419	835	1153
420	836	1150
421	838	1147
422	839	1145
423	841	1143
424	843	1140
425	844	1138
426	845	1135
427	847	1132
428	848	1129
429	849	1126
430	851	1123
431	852	1120
432	853	1118
433	856	1116
434	858	1114
435	861	1114
436	863	1111
437	864	1109
438	865	1106
439	867	1103
440	868	1101
441	870	1098
442	872	1097
443	874	1094
444	875	1091
445	876	1088
446	877	1086
447	879	1083
448	880	1080
449	882	1078
450	883	1075
451	884	1072
452	886	1069
